Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,19,2,2,1200,971.9,7.27,8.72,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,20,2,2,1200,704.0,8.72,4.51,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,21,2,2,1200,1036.7,4.51,4.14,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,22,2,2,1200,1087.5,4.14,4.77,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,23,2,2,1200,1111.3,4.77,5.44,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,24,2,2,1200,1138.6,5.44,4.0,2.668,90.34,0.0,78.87,0,0.0,1,750,0.0,83.73,77.12,1.75,2.668,0
Proposed,bigbuckbunny,2,25,2,2,1200,1073.9,4.0,4.55,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,26,2,2,1200,1065.4,4.55,4.0,0.252,90.34,0.0,89.26,0,0.0,1,750,0.0,83.73,83.73,5.530000000000001,0.252,0
Proposed,bigbuckbunny,2,27,2,2,1200,984.5,4.0,4.0,0.459,90.34,0.0,88.37,0,0.0,1,750,0.0,83.73,83.73,4.640000000000001,0.459,0
Proposed,bigbuckbunny,2,28,2,2,1200,824.4,4.0,4.0,6.723,90.34,0.0,61.43,0,0.0,1,750,0.0,83.73,83.73,-22.300000000000004,6.723,0
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,4.0,4.0,1.678,90.34,0.0,83.13,0,0.0,1,750,0.0,83.73,83.73,-0.6000000000000085,1.678,0
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,4.0,4.0,1.144,90.34,0.0,85.42,0,0.0,1,750,0.0,83.73,83.73,1.6899999999999977,1.144,0
Proposed,bigbuckbunny,2,31,2,2,1200,1126.0,4.0,4.0,0.383,90.34,0.0,88.69,0,0.0,1,750,0.0,83.73,83.73,4.959999999999994,0.383,0
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,4.0,4.0,2.655,90.34,0.0,78.93,0,0.0,1,750,0.0,83.73,83.73,-4.799999999999997,2.655,0
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,4.0,4.35,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,4.35,4.21,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,4.21,5.13,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,36,2,2,1200,355.7,5.13,4.0,7.273,90.34,0.0,59.06,0,0.0,1,750,0.0,83.73,83.73,-24.67,7.273,0
Proposed,bigbuckbunny,2,37,2,2,1200,952.1,4.0,5.93,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,83.73,6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,38,2,2,1200,1023.8,5.93,6.94,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,39,2,2,1200,960.6,6.94,8.71,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,40,2,2,1200,955.9,8.71,5.8,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,41,2,2,1200,880.2,5.8,5.61,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,42,2,2,1200,1063.0,5.61,6.16,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
