Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,42,1,750,1063.0,14.59,17.12,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,43,1,750,934.7,17.12,18.09,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,44,1,750,994.6,18.09,18.64,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,45,1,750,1000.9,18.64,20.85,0.0,83.73,0.0,83.73,3,1850,0.146,95.49,89.71,-5.97999999999999,-0.146,0
Proposed,bigbuckbunny,2,46,1,750,858.9,20.85,23.13,0.0,83.73,0.0,83.73,3,1850,0.25,95.49,94.41,-10.679999999999993,-0.25,0
Proposed,bigbuckbunny,2,47,1,750,1103.0,23.13,25.81,0.0,83.73,0.0,83.73,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,3,0,0,300,1070.0,1.09,4.0,1.24,66.58,0.0,61.25,1,750,4.737,83.73,63.36,-2.1099999999999994,-3.497,0
Proposed,bigbuckbunny,3,1,1,750,1465.1,4.0,6.7,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,3,2,1,750,835.4,6.7,7.34,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,3,1,750,338.2,7.34,5.24,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,4,0,300,799.4,5.24,7.41,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,3,5,1,750,852.7,7.41,9.77,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,3,6,1,750,608.4,9.77,11.75,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,7,1,750,376.5,11.75,12.57,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,8,1,750,1048.2,12.57,13.36,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,9,1,750,869.5,13.36,15.46,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,10,1,750,861.3,15.46,17.95,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,11,1,750,846.7,17.95,19.2,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
