Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,4,27,1,750,901.4,25.44,26.7,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,28,1,750,901.5,26.7,25.01,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,29,1,750,900.7,25.01,24.38,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,30,1,750,899.6,24.38,23.82,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,31,1,750,902.2,23.82,25.29,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,32,1,750,900.9,25.29,23.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,33,1,750,894.7,23.13,24.17,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,34,1,750,901.3,24.17,25.49,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,35,1,750,902.2,25.49,26.31,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,36,1,750,901.0,26.31,26.3,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,37,1,750,901.0,26.3,28.14,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,38,1,750,901.5,28.14,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,39,1,750,871.6,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,40,1,750,901.6,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,41,1,750,901.8,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,42,1,750,901.0,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,43,1,750,900.8,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,44,1,750,900.8,30.0,29.24,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,45,1,750,901.8,29.24,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,46,1,750,900.7,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,47,1,750,900.7,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,0,1,750,769.8,2.52,4.0,2.087,83.73,0.0,74.76
Proposed,bigbuckbunny,5,1,1,750,446.8,4.0,4.0,0.399,83.73,0.0,82.01
Proposed,bigbuckbunny,5,2,1,750,580.4,4.0,4.0,0.133,83.73,0.0,83.16
Proposed,bigbuckbunny,5,3,1,750,467.8,4.0,4.56,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,4,0,300,757.0,4.56,6.04,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,5,5,0,300,657.4,6.04,8.52,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,6,0,300,706.4,8.52,10.91,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,7,0,300,692.8,10.91,12.66,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,8,0,300,989.6,12.66,14.4,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,9,1,750,601.9,14.4,14.94,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,5,10,1,750,1009.6,14.94,16.78,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,11,1,750,645.2,16.78,14.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,12,1,750,418.7,14.13,5.69,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,13,1,750,877.1,5.69,6.2,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,14,1,750,465.1,6.2,5.83,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,15,1,750,398.4,5.83,4.02,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,16,0,300,859.7,4.02,6.09,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,5,17,1,750,1070.5,6.09,8.73,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,5,18,1,750,875.5,8.73,11.34,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,19,1,750,441.8,11.34,11.73,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,20,1,750,813.4,11.73,11.62,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,21,1,750,740.3,11.62,14.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,22,1,750,992.4,14.0,15.79,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,23,1,750,597.7,15.79,16.66,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,24,1,750,985.9,16.66,15.97,0.0,83.73,0.0,83.73
