Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,47,2,1200,1103.0,10.89,12.96,0.0,90.34,0.0,90.34,3,1850,0.0,95.49,95.49,-5.1499999999999915,0.0,0
Proposed,bigbuckbunny,3,0,0,300,1070.0,1.09,4.0,0.866,66.58,0.0,62.86,1,750,3.802,83.73,67.38,-4.519999999999996,-2.936,0
Proposed,bigbuckbunny,3,1,0,300,1465.1,4.0,7.04,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,3,2,2,1200,835.4,7.04,6.75,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,3,3,0,300,338.2,6.75,7.86,0.0,66.58,23.76,42.82,1,750,0.317,83.73,82.37,-39.550000000000004,-0.317,0
Proposed,bigbuckbunny,3,4,0,300,799.4,7.86,10.13,0.0,66.58,0.0,66.58,1,750,0.316,83.73,82.37,-15.790000000000006,-0.316,0
Proposed,bigbuckbunny,3,5,2,1200,852.7,10.13,11.37,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,3,6,2,1200,608.4,11.37,11.49,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,7,2,1200,376.5,11.49,7.98,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,8,0,300,1048.2,7.98,10.79,0.0,66.58,23.76,42.82,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,3,9,2,1200,869.5,10.79,12.07,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,3,10,2,1200,861.3,12.07,13.43,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,11,2,1200,846.7,13.43,13.48,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,12,1,750,598.8,13.48,8.93,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,3,13,1,750,608.7,8.93,7.37,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,14,1,750,797.1,7.37,8.76,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,15,2,1200,1016.9,8.76,9.13,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
