Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,4,22,1,1,750,900.6,6.59,7.21,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,23,1,1,750,902.1,7.21,8.37,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,24,1,1,750,901.1,8.37,7.87,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,25,1,1,750,899.4,7.87,9.71,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,26,1,1,750,823.2,9.71,10.74,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,27,1,1,750,901.4,10.74,13.41,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,28,1,1,750,901.5,13.41,13.66,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,29,2,2,1200,900.7,13.66,15.02,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,30,2,2,1200,899.6,15.02,16.19,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,31,2,2,1200,902.2,16.19,16.49,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,32,2,2,1200,900.9,16.49,14.9,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,33,2,2,1200,894.7,14.9,15.84,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,34,2,2,1200,901.3,15.84,13.99,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,35,2,2,1200,902.2,13.99,11.56,0.0,90.34,0.0,90.34,0,0.0
