video,chunk,bitrate_kbps,vmaf
tearsofsteel_short,46,300,56.6235
tearsofsteel_short,46,750,79.1938
tearsofsteel_short,46,1200,88.6087
tearsofsteel_short,46,1850,93.9756
tearsofsteel_short,46,2850,95.8698
tearsofsteel_short,46,6000,97.2895
tearsofsteel_short,47,300,56.5282
tearsofsteel_short,47,750,80.1138
tearsofsteel_short,47,1200,89.6664
tearsofsteel_short,47,1850,95.2442
tearsofsteel_short,47,2850,97.0073
tearsofsteel_short,47,6000,97.8466
